stat_nm,stat_id,chger_id,charger_type,addr,lat,lon,use_time,busi_id,busi_nm,busi_call,chger_stat,stat_upd_dt,power_type,city_do_cd,parking_free_yn,stat_note,limit_yn,limit_detail,del_yn,del_detail
한국산업기술진흥원,GN000046,1,완속,서울특별시 강남구  테헤란로 305(역삼동),37.503534,127.043759,09시~21시,GN,지커넥트,1544-4279,2,2.02E+13,,11,N,,N,,N,
영동프라자,HE000247,1,완속,서울특별시 강남구 강남대로 128길 20 영동프라자,37.5099,127.0236,24시간 이용가능,HE,한국전기차충전서비스,1522-1782,2,2.02E+13,,11,N,,N,,N,
푸르덴셜타워,EV001656,1,급속,서울특별시 강남구 강남대로 298,37.490051,127.0321629,24시간 이용가능,EV,에버온,1661-7766,9,2.02E+13,,11,N,주차비1000원/10분,N,,N,
푸르덴셜타워,EV001656,2,급속,서울특별시 강남구 강남대로 298,37.490051,127.0321629,24시간 이용가능,EV,에버온,1661-7766,9,2.02E+13,,11,N,주차비1000원/10분,N,,N,
대륭종합건설㈜강남타워,GN040581,1,완속,서울특별시 강남구 강남대로 362,37.4952676,127.0294042,24시간 이용가능,GN,지커넥트,1544-4279,2,2.02E+13,,11,Y,,N,,N,
대륭종합건설㈜강남타워,GN040581,2,완속,서울특별시 강남구 강남대로 362,37.4952676,127.0294042,24시간 이용가능,GN,지커넥트,1544-4279,2,2.02E+13,,11,Y,,N,,N,
대륭종합건설㈜강남타워,GN040581,3,완속,서울특별시 강남구 강남대로 362,37.4952676,127.0294042,24시간 이용가능,GN,지커넥트,1544-4279,2,2.02E+13,,11,Y,,N,,N,
대륭종합건설㈜강남타워,GN040581,4,완속,서울특별시 강남구 강남대로 362,37.4952676,127.0294042,24시간 이용가능,GN,지커넥트,1544-4279,2,2.02E+13,,11,Y,,N,,N,
논현초교 공영노외주차장,ME19A277,21,급속,서울특별시 강남구 강남대로120길 33,37.5082482,127.0267657,24시간 이용가능,ME,환경부,1661-9408,2,2.02E+13,,11,N,,N,,N,
논현초교 공영노외주차장,ME19A277,22,급속,서울특별시 강남구 강남대로120길 33,37.5082482,127.0267657,24시간 이용가능,ME,환경부,1661-9408,2,2.02E+13,,11,N,,N,,N,
서울시 강남구 논현아파트,PI200273,1,완속,서울특별시 강남구 강남대로146길 28,37.5150435,127.0229029,24시간 이용가능,PI,차지비,1600-4047,2,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
서울시 강남구 논현아파트,PI200273,2,완속,서울특별시 강남구 강남대로146길 28,37.5150435,127.0229029,24시간 이용가능,PI,차지비,1600-4047,2,2.02E+13,,11,Y,,Y,거주자외 출입제한,N,
