구분,2017.12.31(사업용),2017.12.31(비사업용),2018.12.31(사업용),2018.12.31(비사업용),2019.12.31(사업용),2019.12.31(비사업용),2020.12.31(사업용),2020.12.31(비사업용),2021.12.31(사업용),2021.12.31(비사업용),2022.12.31(사업용),2022.12.31(비사업용)
강남구,2195,190,3802,460,4821,935,5926,1569,8939,2493,10369,3334
강동구,6,75,20,165,82,272,160,489,323,950,538,1182
강북구,3,24,6,79,30,123,90,208,179,317,304,420
강서구,43,89,73,201,122,310,285,520,650,1029,995,1322
관악구,0,45,2,147,33,217,89,323,202,528,403,649
광진구,1,43,3,120,8,183,25,279,90,500,197,614
구로구,0,65,34,137,56,211,569,375,3099,634,3436,774
금천구,59,38,38,96,63,267,77,362,126,404,237,542
노원구,3,80,7,157,26,237,136,359,255,634,420,791
도봉구,4,43,16,105,51,150,131,216,234,403,344,475
동대문구,3,46,2,104,14,181,33,279,145,511,192,628
동작구,1,72,5,152,15,250,37,353,85,625,134,798
마포구,122,88,9,207,25,342,66,501,160,902,251,1139
서대문구,0,41,11,117,28,191,70,288,141,522,218,643
서초구,5,303,49,589,69,1083,148,1910,397,3219,501,3379
성동구,109,86,264,177,287,291,586,455,661,833,630,1045
성북구,0,64,25,149,90,244,143,387,218,682,305,849
송파구,4,110,6,337,36,581,116,959,331,1601,549,1991
양천구,14,79,28,171,67,276,139,418,256,733,424,952
영등포구,105,174,277,381,397,965,661,1281,751,1658,828,1851
용산구,0,67,0,201,2,324,13,466,43,914,62,848
은평구,4,69,2,162,42,218,135,357,261,620,424,775
종로구,0,75,0,133,3,186,11,267,84,522,77,615
중구,1,109,24,186,48,288,248,466,324,626,349,710
중랑구,2,38,4,124,29,183,159,253,283,467,485,592
